,,Q1. Optimism,Q3a. Investment in buildings,Q3b. Investment in plant & machinery
1958,Jun,-12,-32,-23
1958,Oct,+18,-37,-25
1959,Feb,+20,-22,-9
1959,Jun,+55,-14,0
1959,Oct,+48,-12,+10
1960,Feb,+45,+6,+25
1960,Jun,+18,+1,+16
1960,Oct,-22,-7,+10
1961,Feb,-35,-8,+8
1961,Jun,+7,-7,+6
1961,Oct,-37,-25,-11
1962,Feb,-15,-28,-16
1962,Jun,-5,-32,-23
1962,Oct,-3,-31,-20
1963,Feb,-12,-26,-14
1963,Jun,+53,-22,-7
1963,Oct,+50,-16,+2
1964,Feb,+39,-2,+15
1964,Jun,+29,+2,+19
1964,Oct,0,-2,+14
1965,Feb,-10,-2,+11
1965,Jun,-27,-5,+4
1965,Oct,-20,-15,+3
1966,Feb,-9,-18,+5
1966,Jun,-12,-20,-4
1966,Oct,-64,-49,-39
1967,Feb,-13,-36,-25
1967,Jun,-4,-30,-8
1967,Oct,+5,-27,0
1968,Feb,+7,-17,+2
1968,Jun,+21,-10,+14
1968,Oct,+27,+1,+17
1969,Feb,+16,+6,+21
1969,Jun,-4,-4,+12
1969,Oct,+8,-14,+10
1970,Feb,+9,-18,-5
1970,Jun,-6,-20,-3
1970,Oct,-1,-21,-8
1971,Feb,-,-,-
1971,Jun,-10,-37,-31
1971,Sep,+16,-25,-13
1972,Jan,+37,-17,+3
1972,Apr,+38,-11,+9
1972,Jul,+22,-4,+16
1972,Oct,+29,-2,+17
1973,Jan,+31,+4,+30
1973,Apr,+41,+11,+35
1973,Jul,+26,+18,+39
1973,Oct,+12,+16,+38
1974,Jan,-75,-15,-3
1974,Apr,-9,-10,+2
1974,Jul,-43,-22,-6
1974,Oct,-56,-39,-33
1975,Jan,-63,-47,-41
1975,Apr,-44,-42,-27
1975,Jul,-35,-39,-24
1975,Oct,-18,-31,-15
1976,Jan,+10,-12,+10
1976,Apr,+24,-9,+15
1976,Jul,+31,-3,+25
1976,Oct,-9,+1,+26
1977,Jan,+6,+4,+29
1977,Apr,+7,0,+31
1977,Jul,-7,-4,+23
1977,Oct,0,-3,+21
1978,Jan,+1,-4,+21
1978,Apr,-3,-7,+18
1978,Jul,0,-15,+13
1978,Oct,+6,-11,+10
1979,Jan,-5,-7,+12
1979,Apr,+6,-6,+12
1979,Jul,-22,-9,+8
1979,Oct,-40,-20,-9
1980,Jan,-45,-30,-18
1980,Apr,-41,-31,-18
1980,Jul,-70,-47,-43
1980,Oct,-54,-49,-46
1981,Jan,-27,-46,-38
1981,Apr,-7,-40,-30
1981,Jul,+2,-35,-23
1981,Oct,-9,-33,-13
1982,Jan,+8,-25,-5
1982,Apr,+10,-25,-2
1982,Jul,-22,-26,-11
1982,Oct,-28,-33,-20
1983,Jan,-5,-26,-5
1983,Apr,+31,-15,+6
1983,Jul,+24,-5,+18
1983,Oct,+7,-8,+12
1984,Jan,+25,-4,+19
1984,Apr,+23,-3,+19
1984,Jul,-4,-2,+13
1984,Oct,+1,-6,+20
1985,Jan,+6,-7,+11
1985,Apr,+18,-3,+14
1985,Jul,0,-21,0
1985,Oct,-6,-21,+4
1986,Jan,-1,-16,+2
1986,Apr,+8,-15,+10
1986,Jul,-9,-15,+5
1986,Oct,0,-13,+8
1987,Jan,+12,-10,+10
1987,Apr,+29,-3,+13
1987,Jul,+25,+1,+20
1987,Oct,+23,-3,+17
1988,Jan,+11,+1,+20
1988,Apr,+19,+6,+32
1988,Jul,+8,-6,+19
1988,Oct,+6,-4,+21
1989,Jan,-6,-9,+21
1989,Apr,-5,-1,+18
1989,Jul,-19,-7,+3
1989,Oct,-26,-10,-3
1990,Jan,-29,-23,-8
1990,Apr,-22,-23,-8
1990,Jul,-27,-22,-7
1990,Oct,-47,-26,-15
1991,Jan,-51,-33,-31
1991,Apr,-17,-35,-34
1991,Jul,-26,-35,-30
1991,Oct,+2,-24,-7
1992,Jan,-24,-34,-16
1992,Apr,+8,-30,-10
1992,Jul,-9,-30,-9
1992,Oct,-23,-35,-18
1993,Jan,+11,-23,-7
1993,Apr,+31,-20,-8
1993,Jul,+11,-20,-3
1993,Oct,+1,-18,-1
1994,Jan,+27,-23,+7
1994,Apr,+13,-23,+4
