,Overall Confidence (Average of Trading Prospects and Economic Optimism) % net balance,,,,,,,
,All firms : %UP,All firms : %DOWN,All firms : %BAL,All firms : Monthly change,Turnover above £1m only : %UP,Turnover above £1m only: %DOWN,Turnover above £1m only : %BAL,Turnover above £1m only : Monthly change
Jan-02,54,20,34,,54,20,34,
Feb-02,55,21,34,0,55,21,34,0
Mar-02,32,7,25,-9,32,7,25,-9
Apr-02,66,14,52,27,66,14,52,27
May-02,66,12,54,2,66,12,54,2
Jun-02,56,21,35,-19,56,21,35,-19
Jul-02,50,22,28,-7,50,22,28,-7
Aug-02,59,21,38,10,59,21,38,10
Sep-02,50,19,31,-7,50,19,31,-7
Oct-02,54,23,31,0,54,23,31,0
Nov-02,54,21,33,2,54,21,33,2
Dec-02,39,30,9,-24,39,30,9,-24
Jan-03,41,30,11,2,41,30,11,2
Feb-03,41,29,12,1,41,29,12,1
Mar-03,39,31,8,-4,39,31,8,-4
Apr-03,49,26,23,15,49,26,23,15
May-03,58,14,44,21,58,14,44,21
Jun-03,53,19,34,-10,53,19,34,-10
Jul-03,57,12,45,11,57,12,45,11
Aug-03,55,16,39,-6,55,16,39,-6
Sep-03,60,13,47,8,60,13,47,8
Oct-03,57,20,37,-10,57,20,37,-10
Nov-03,51,28,23,-14,51,28,23,-14
Dec-03,58,15,43,20,58,15,43,20
Jan-04,61,11,50,7,61,11,50,7
Feb-04,54,15,39,-11,54,15,39,-11
Mar-04,61,16,45,6,61,16,45,6
Apr-04,55,13,42,-3,55,13,42,-3
May-04,60,12,48,6,60,12,48,6
Jun-04,60,11,49,1,60,11,49,1
Jul-04,47,21,26,-23,47,21,26,-23
Aug-04,54,16,38,12,54,16,38,12
Sep-04,53,20,33,-5,53,20,33,-5
Oct-04,55,18,37,4,55,18,37,4
Nov-04,57,24,33,-4,57,24,33,-4
Dec-04,60,13,47,14,60,13,47,14
Jan-05,52,18,34,-13,52,18,34,-13
Feb-05,62,11,51,17,62,11,51,17
Mar-05,56,18,38,-13,56,18,38,-13
Apr-05,50,17,33,-5,50,17,33,-5
May-05,56,19,37,4,56,19,37,4
Jun-05,55,17,38,1,55,17,38,1
Jul-05,46,26,20,-18,46,26,20,-18
Aug-05,46,22,24,4,46,22,24,4
Sep-05,52,20,32,8,52,20,32,8
Oct-05,55,17,38,6,55,17,38,6
Nov-05,49,23,26,-12,49,23,26,-12
Dec-05,34,24,10,-16,34,24,10,-16
Jan-06,56,20,36,26,56,20,36,26
Feb-06,51,17,34,-2,51,17,34,-2
Mar-06,51,20,31,-3,51,20,31,-3
Apr-06,58,14,44,13,58,14,44,13
May-06,46,21,25,-19,46,21,25,-19
Jun-06,57,12,45,20,57,12,45,20
Jul-06,55,12,43,-2,55,12,43,-2
Aug-06,54,19,35,-8,54,19,35,-8
Sep-06,55,17,38,3,55,17,38,3
Oct-06,46,16,30,-8,46,16,30,-8
Nov-06,57,16,41,11,57,16,41,11
Dec-06,47,20,27,-14,47,20,27,-14
Jan-07,58,14,44,17,58,14,44,17
Feb-07,62,15,47,3,62,15,47,3
Mar-07,57,14,43,-4,57,14,43,-4
Apr-07,61,8,53,10,61,8,53,10
May-07,55,15,40,-13,55,15,40,-13
Jun-07,53,16,37,-3,53,16,37,-3
Jul-07,56,17,39,2,56,17,39,2
Aug-07,58,16,42,3,58,16,42,3
Sep-07,60,18,42,0,60,18,42,0
Oct-07,55,18,37,-5,55,18,37,-5
Nov-07,51,19,32,-5,51,19,32,-5
Dec-07,46,30,16,-16,46,30,16,-16
Jan-08,47,32,15,-1,47,32,15,-1
Feb-08,43,31,12,-3,43,31,12,-3
Mar-08,37,32,5,-7,37,32,5,-7
Apr-08,37,41,-4,-9,37,41,-4,-9
