Title,HH & NPISH (S.14 + S.15): Households' & NPISH saving ratio (per cent): Current price: £m: SA,"Unemployment rate (aged 16 and over, seasonally adjusted): %",CPI INDEX 00: ALL ITEMS 2015=100,HH & NPISH (S.14 + S.15): Currency and deposits (AF.2): Asset: Current price: £m: NSA,HH & NPISH (S.14 + S.15): Total financial assets (AF.A): Asset: Current price: £m: NSA,HH & NPISH (S.14 + S.15): Total financial liabilities (AF.L): Liability: Current price: £m: NSA,UK resident population: mid-year estimates (Qtly data interpolated),HH & NPISH (S.14 + S.15): Loans secured on dwellings (AF.422): Liability: Current price: £m: NSA,HH & NPISH (S.14 + S.15): Net financial assets (BF.90): Current price: £m: NSA,HH & NPISH (S.14 + S.15): Real Households' & NPISH disposable income at chained volume measures (reference year 2022)(1):CP:£m:SA,RSI:Volume Seasonally Adjusted:All Retailers inc fuel:All Business Index,"CG: Current receipts: Taxes on production: VAT, receivable: £m CPNSA",AWE: Whole Economy Level (£): Seasonally Adjusted Total Pay Excluding Arrears,IOP: B-E: PRODUCTION: CVMSA,Gross Value Added - Monthly (Index 1dp) :CVM SA,Wholesale & retail trade; Repair of motor vehicles/cycles (Index 1dp) :CVM SA,IoS: Services: Period on Period Growth
CDID,NRJS,MGSX,D7BT,NNMP,NNML,NNPP,EBAQ,NNRP,NZEA,NRJR,J5EK,NZGF,KAB9,K222,ECY2,ECYD,S222
Source dataset ID,UKEA,LMS,MM23,UKEA,UKEA,UKEA,QNA,UKEA,UKEA,UKEA,DRSI,PUSF,EMP,DIOP,MGDP,MGDP,IOS1
PreUnit,,,,,,,,,,£,,£,£,,,,
Unit,,%,"Index, base year = 100",,,,",000",,,m,"Index, base year = 100",m,,"Index, base year = 100",,,
Release date,23/12/2024,21/01/2025,15/01/2025,23/12/2024,23/12/2024,23/12/2024,23/12/2024,23/12/2024,23/12/2024,23/12/2024,17/01/2025,22/01/2025,21/01/2025,16/01/2025,16/01/2025,16/01/2025,16/01/2025
Next release,28-Mar-25,18-Feb-25,19-Feb-25,28-Mar-25,28-Mar-25,28-Mar-25,13-Feb-25,28-Mar-25,28-Mar-25,28-Mar-25,21-Feb-25,21-Feb-25,18-Feb-25,13-Feb-25,13-Feb-25,13-Feb-25,13-Feb-25
Important notes,,,,,,,,,,,,,,,,,
1946,,,,,,,,,,,,,,,,,
1947,,,,,,,,,,,,,,,,,
1948,,,,,,,,,,257375,,,,28.5,,,
1949,,,,,,,,,,263889,,,,30.4,,,
1950,,,,,,,,,,272240,,,,32.5,,,
1951,,,,,,,,,,269038,,,,33.5,,,
1952,,,,,,,,,,274735,,,,32.3,,,
1953,,,,,,,,,,288210,,,,34.3,,,
1954,,,,,,,,,,297920,,,,36.1,,,
1955,,,,,,,50946,,,311681,,,,38,,,
1956,,,,,,,51184,,,319139,,,,38.1,,,
1957,,,,,,,51430,,,324361,,,,39,,,
1958,,,,,,,51653,,,330733,,,,38.6,,,
1959,,,,,,,51956,,,348125,,,,40.5,,,
1960,,,,,,,52373,,,371272,,,,43.4,,,
1961,,,,,,,52807,,,386712,,,,43.5,,,
1962,,,,,,,53292,,,391440,,,,43.9,,,
1963,5.6,,,,,,53625,,,406838,,,,45.4,,,
1964,6.7,,,,,,53991,,,424733,,,,49.1,,,
1965,7.1,,,,,,54350,,,433209,,,,50.5,,,
1966,7.3,,,,,,54643,,,442600,,,,51.3,,,
1967,6.7,,,,,,54959,,,448831,,,,51.7,,,
1968,5.9,,,,,,55214,,,456510,,,,55.5,,,
1969,6.1,,,,,,55461,,,460879,,,,57.3,,,
1970,6.9,,,,,,55632,,,478090,,,,57.6,,,
1971,5.5,4.1,,,,,55928,,,485171,,,,57.3,,,
1972,7.8,4.3,,,,,56097,,,527022,,,,58.3,,,
1973,8.6,3.7,,,,,56223,,,560418,,,,63.6,,,
1974,8.9,3.7,,,,,56236,,,555668,,,,62.3,,,
1975,9.7,4.5,,,,,56226,,,560371,,,,58.9,,,
