,,Q1. Optimism,Q7a. Capital expenditure,Q7b. Capital expenditure,Q7c. Capital expenditure
,,,- land & buildings,- Information Technology,"- Vehicles, plant & machinery"
1998,Nov,-25,-4,+42,-5
1999,Mar,+13,+7,+47,+9
1999,Jun,+8,-2,+31,-4
1999,Sep,+10,+1,+18,+6
1999,Nov,+18,+4,+32,+12
2000,Feb,+12,-3,+15,-5
2000,May,+13,+7,+25,-3
2000,Aug,+11,-6,+25,+4
2000,Nov,-11,-7,+22,+4
2001,Feb,+11,-13,+39,-18
2001,May,-12,+1,+24,-8
2001,Aug,-43,-25,+2,-21
2001,Nov,-58,-18,-17,-29
2002,Feb,+20,-22,+4,-15
2002,May,+23,-14,+20,-9
2002,Aug,-13,-20,-6,-26
2002,Nov,-11,-23,+15,-7
2003,Feb,-21,-9,+10,-8
2003,May,-8,-36,-12,-25
2003,Aug,+5,-31,-1,-7
2003,Nov,+23,-10,+17,-11
2004,Feb,+27,-4,+31,-3
2004,May,+32,+5,+35,+14
2004,Aug,-4,-4,+35,+4
2004,Nov,-1,+7,+28,+6
2005,Feb,+14,+6,+38,+9
2005,May,-14,-6,+31,-26
2005,Aug,-12,-19,+13,-19
2005,Nov,+6,+4,+6,-26
2006,Feb,+8,+7,+33,+1
2006,May,+17,-6,+26,-8
2006,Aug,-11,+5,+12,0
2006,Nov,+8,+16,+45,-5
2007,Feb,+19,-4,+33,-6
2007,May,+10,+14,+41,0
2007,Aug,-2,-12,+17,0
2007,Nov,-4,+21,+32,+11
2008,Feb,-33,-3,+17,+3
2008,May,-30,-1,+8,-13
2008,Aug,-47,-20,-19,-37
2008,Nov,-80,-48,-34,-49
2009,Feb,-48,-44,-37,-52
2009,May,-1,-30,-16,-42
2009,Aug,+25,-12,-16,-10
2009,Nov,+5,-19,-2,-29
2010,Feb,+30,+1,+11,-15
2010,May,+14,-16,+1,-15
2010,Aug,-12,-17,+13,-10
2010,Nov,-8,-7,+9,+7
2011,Feb,+5,-13,+17,+5
2011,May,+20,+2,+8,+6
2011,Aug,-24,-12,+20,-5
2011,Nov,-31,-2,+27,-5
2012,Feb,-8,-13,0,-10
2012,May,+5,-9,+7,-2
2012,Aug,-14,-12,+5,-16
2012,Nov,+17,+3,+22,-4
2013,Feb,+1,-3,+23,0
2013,May,+30,+6,+6,-5
2013,Aug,+33,-16,+16,-3
2013,Nov,+40,+13,+23,+14
2014,Feb,+45,+4,+25,+12
2014,May,+53,+3,+26,-8
2014,Aug,+34,+1,+27,+6
2014,Nov,+16,+5,+33,+7
2015,Feb,+17,+3,+26,+11
2015,May,+29,+12,+27,+11
2015,Aug,+33,+1,+32,+4
2015,Nov,+18,+4,+35,+11
2016,Feb,+2,+18,+31,+3
2016,May,-1,+12,+42,+15
2016,Aug,-32,0,+21,-5
2016,Nov,-15,-10,+25,-2
2017,Feb,+1,+1,+21,+1
2017,May,+12,+13,+32,+2
2017,Aug,+3,+4,+24,+6
2017,Nov,-2,+2,+14,0
2018,Feb,+2,-3,+20,-1
2018,May,+7,+2,+27,-1
2018,Aug,-1,-3,+19,-4
2018,Nov,-15,-2,+22,-8
2019,Feb,-33,-8,+19,-3
2019,May,-9,-19,+9,-3
2019,Aug,-30,-8,+16,-4
2019,Nov,-21,-14,+11,-12
2020,Feb,+20,-8,+26,+3
2020,May,-81,-41,-15,-40
2020,Aug,+1,-39,+10,-28
2020,Nov,-25,-33,+2,-30
2021,Feb,+8,-21,+19,-11
2021,May,+59,0,+42,+7
2021,Aug,+20,+3,+30,+2
2021,Nov,+18,+3,+44,+13
2022,Feb,+10,-4,+28,+24
2022,May,-21,-5,+27,+6
2022,Aug,-45,-2,+10,-10
2022,Nov,-54,-14,-8,-14
2023,Feb,-20,-5,+14,-13
2023,May,-1,-1,+17,+2
2023,Aug,+2,-18,+11,-20
2023,Nov,-12,-8,+16,-6
2024,Feb,-1,-14,+8,-9
2024,May,+8,-9,+16,-11
2024,Aug,+3,-10,+16,-16
2024,Nov,-34,-10,+4,-13
